ID,Title,Decision
1,JEDI: The Force of Jensen-Shannon Divergence in Disentangling Diffusion Models,Accept (Poster)
2,Agentic Adversarial QA for Improving Domain-Specific LLMs,Accept (Poster)
3,Scalable Temporal Domain Generalization via Prompting,Accept (Poster)
4,Right Question is Already Half the Answer: Fully Unsupervisedd LLM Reasoning Incentization,Accept (Poster)
5,Accurate Parameter-Efficient Test-Time Adaptation for Time Series Forecasting,Accept (Poster)
6,AdaptMI: Adaptive Skill-based In-context Math Instructions for Small Language Models,Accept (Poster)
7,UniTTA: Unified Benchmark and Versatile Framework Towards Realistic Test-Time Adaptation,Accept (Poster)
8,SwiTTA: Switching Domain Experts and Aggregating Contextual Features Towards Realistic Test-Time Adaptation,Accept (Poster)
10,Lightweight Online Adaption for Time Series Foundation Model Forecasts,Accept (Poster)
11,DPCore: Dynamic Prompt Coreset for Continual Test-Time Adaptation,Accept (Poster)
13,Language Model Personalization via Reward Factorization,Accept (Oral)
14,MADCAT: Combating Malware Detection Under Concept Drift with Test-Time Adaptation,Accept (Poster)
15,Beyond Multiple Choice: Evaluating Steering Vectors for Adaptive Free-Form Summarization,Accept (Poster)
17,Language System: A Lightweight Ranking Framework for Language Models,Accept (Poster)
18,LIFT: Improving Long Context Understanding of Large Language Models through Long Input Fine-Tuning,Accept (Poster)
19,"On Training-Test (Mis)alignment in Unsupervised Combinatorial Optimization: Observation, Empirical Exploration, and Analysis",Accept (Poster)
20,Prefix-Tuning+: Modernizing Prefix-Tuning by Decoupling the Prefix from Attention,Accept (Poster)
21,Replacing thinking with tool usage enables reasoning in small language models,Accept (Poster)
22,Test-time Offline Reinforcement Learning on Goal-related Experience,Accept (Poster)
23,Test-Time Adaptation for Generalizable Task Progress Estimation,Accept (Poster)
25,Causal Fine-Tuning of Pre-trained Language Models for Robust Test Time Adaptation,Accept (Poster)
26,Self-Generated In-Context Examples Improve LLM Agents for Sequential Decision-Making Tasks,Accept (Poster)
28,CCC: Enhancing Video Generation via Structured MLLM Feedback,Accept (Poster)
29,"Keep the Alignment, Skip the Overhead: Lightweight Instruction Alignment for Continually Trained LLMs",Accept (Poster)
32,OnDistributionalRobustnessofIn-ContextLearningforTextClassification,Accept (Poster)
33,Leto: Modeling Multivariate Time Series with Memorizing at Test Time,Accept (Oral)
34,Inference-Time Alignment via Hypothesis Reweighting,Accept (Poster)
35,e3: Learning to Explore Enables Extrapolation of Test-Time Compute for LLMs,Accept (Oral)
36,Beyond Markovian: Reflective Exploration via Bayes-Adaptive RL for LLM Reasoning,Accept (Poster)
37,An Evidence-Based Post-Hoc Adjustment Framework for Anomaly Detection Under Data Contamination,Accept (Poster)
38,Distilling Prompts at Test-Time for Multimodal Few-Shot Learning,Accept (Poster)
39,Mitigating Forgetting in Low Rank Adaptation,Accept (Poster)
40,Temporal Sampling for Forgotten Reasoning in LLMs,Accept (Poster)
43,Adaptive Monocular Depth Estimation with Masked Image Consistency,Accept (Poster)
44,Learning to Self-Correct through Chain-of-Thought Verification,Accept (Poster)
45,SteeringTTA: Guiding Diffusion Trajectories for Robust Test-Time-Adaptation,Accept (Poster)
46,Context Tuning for In-Context Optimization,Accept (Poster)
48,When and How Unlabeled Data Provably Improve In-Context Learning,Accept (Poster)
49,Diffusion Tree Sampling: Scalable inference‑time alignment of diffusion models,Accept (Poster)
50,The Curious Language Model: Strategic Test-Time Information Acquisition,Accept (Poster)
51,Prune ’n Predict: Optimizing LLM Decision-making with Conformal Prediction,Accept (Poster)
53,Test-Time Alignment of Discrete Diffusion Models with Sequential Monte Carlo,Accept (Poster)
54,Reasoning as an Adaptive Defense for Safety,Accept (Poster)
57,GRIP: In-Parameter Graph Reasoning through Fine-Tuning Large Language Models,Accept (Poster)
58,Test Time Adaptation Using Adaptive Quantile Recalibration,Accept (Poster)
59,Adaptive Diffusion Denoised Smoothing : Certified Robustness via Randomized Smoothing with Differentially Private Guided Denoising Diffusion,Accept (Oral)
60,LoRA-TTT: Low-Rank Test-Time Training for Vision-Language Models,Accept (Poster)
61,Shift-Aware Test Time Adaptation and Benchmarking for Time-Series Forecasting,Accept (Oral)
63,Scalable Defense against In-the-wild Jailbreaking Attacks with Safety Context Retrieval,Accept (Poster)
64,Scaling Textual Gradients via Sampling-Based Momentum,Accept (Poster)
65,Rejection Sampling Based Fine Tuning Secretly Performs PPO,Accept (Poster)
66,Value Conditioned Policy Fine Tuning for Test Time Domain Adaptation,Accept (Poster)
68,Zero-Shot Adaptation of Behavioral Foundation Models to Unseen Dynamics,Accept (Poster)
71,N-Gram Induction Heads for In-Context RL: Improving Stability and Reducing Data Needs,Accept (Poster)
72,Monitoring Risks in Test-Time Adaptation,Accept (Oral)
